paragraph,sequence
"This is an old revision of this page, as edited by 41.189.206.7 (talk) at 08:42, 19 August 2024 (→‎2023 report). The present address (URL) is a permanent link to this revision, which may differ significantly from the current revision.",0
"The World Happiness Report is a publication that contains articles and rankings of national happiness, based on respondent ratings of their own lives,[1] which the report also correlates with various (quality of) life factors.[2] The report primarily uses data from the Gallup World Poll. As of March 2024, Finland has been ranked the happiest country in the world seven times in a row.[3][4][5][6][7]
",1
"Since 2024, the report has been published under a partnership between Gallup, the Wellbeing Research Centre at the University of Oxford, and the UN Sustainable Development Solutions Network.[8] The editorial team includes three founding editors, John F. Helliwell, Richard Layard, and Jeffrey D. Sachs, and editors, Jan-Emmanuel De Neve, Lara Aknin, and Shun Wang.[9]
",2
"In July 2011, the UN General Assembly adopted resolution 65/309 Happiness: Towards a Holistic Definition of Development[10] inviting member countries to measure the happiness of their people and to use the data to help guide public policy. 
",3
"The first World Happiness Report was released on 1 April 2012, as a foundational text for the UN High Level Meeting: Well-being and Happiness: Defining a New Economic Paradigm,[11] drawing international attention.[12] On 2 April 2012, this was followed by the first UN High Level Meeting called Wellbeing and Happiness: Defining a New Economic Paradigm,[13] which was chaired by UN Secretary General Ban Ki-moon and Prime Minister Jigmi Thinley of Bhutan, a nation that adopted gross national happiness instead of gross domestic product as their main development indicator.[14]
",4
"The first report outlined the state of world happiness, causes of happiness and misery, and policy implications highlighted by case studies. In 2013, the second World Happiness Report was issued, and in 2015 the third. Since 2016, it has been issued on an annual basis on 20 March, to coincide with the UN's International Day of Happiness.[15]
",5
"The rankings of national happiness are based on a happiness measurement survey undertaken world-wide by the polling company Gallup, Inc. Nationally representative samples of respondents are asked to think of a ladder, with the best possible life for them being a 10, and the worst possible life being a 0. They are then asked to rate their own current lives on that 0 to 10 scale.[16] The report correlates the life evaluation results with various life factors.[2]
",6
"The life factor variables used in the reports are reflective of determinants that explain national-level differences in life evaluations across research literature. However, certain variables, such as unemployment or inequality, are not considered because comparable data is not yet available across all countries. The variables used illustrate important correlations rather than causal estimates.[16]
",7
"The use of subjective measurements of wellbeing is meant to be a bottom-up approach which emancipates respondents to evaluate their own wellbeing.[17] In this context, the value of the Cantril Ladder is the fact that a respondent can self-anchor themselves based on their perspective.[18]
",8
"In the reports, experts in fields including economics, psychology, survey analysis, and national statistics, describe how measurements of well-being can be used effectively to assess the progress of nations, and other topics. Each report is organized by chapters that delve deeper into issues relating to happiness, including mental illness, the objective benefits of happiness, the importance of ethics, policy implications, and links with the Organisation for Economic Co-operation and Development's (OECD) approach to measuring subjective well-being and other international and national efforts.
",9
